taxon,common_names
Crocidura roosevelti,"[{'taxonname': ""Roosvelt's Shrew"", 'primary': False, 'language': 'eng'}]"
Crocidura tansaniana,"[{'taxonname': 'Tanzanian Shrew', 'primary': True, 'language': 'eng'}]"
Crocidura telfordi,"[{'taxonname': ""Telford's Shrew"", 'primary': True, 'language': 'eng'}]"
Crocidura turba,"[{'taxonname': 'Turbo Shrew', 'primary': False, 'language': 'eng'}, {'taxonname': 'Tumultuous Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura usambarae,"[{'taxonname': 'Usambara Shrew', 'primary': True, 'language': 'eng'}, {'taxonname': 'Usambara Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura viaria,"[{'taxonname': 'Savanna Path Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura voi,"[{'taxonname': 'Voi Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura xantippe,"[{'taxonname': ""Xanthippe's Shrew"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Vermiculate Shrew', 'primary': False, 'language': 'eng'}]"
Myosorex geata,"[{'taxonname': 'Geata Mouse Shrew', 'primary': True, 'language': 'eng'}]"
Myosorex kihaulei,"[{'taxonname': ""Kihaule's Mouse Shrew"", 'primary': True, 'language': 'eng'}]"
Myosorex zinki,"[{'taxonname': 'Kilimanjaro Mouse Shrew', 'primary': True, 'language': 'eng'}]"
Suncus aequatorius,"[{'taxonname': 'Taita Dwarf Shrew', 'primary': True, 'language': 'eng'}]"
Suncus lixus,"[{'taxonname': 'Greater Dwarf Shrew', 'primary': False, 'language': 'eng'}]"
Suncus megalura,"[{'taxonname': 'Climbing Shrew', 'primary': False, 'language': 'eng'}]"
Suncus murinus,"[{'taxonname': 'House Shrew', 'primary': True, 'language': 'eng'}, {'taxonname': 'Asian House Shrew', 'primary': False, 'language': 'eng'}]"
Suncus varilla,"[{'taxonname': 'Lesser Dwarf Shrew', 'primary': False, 'language': 'eng'}]"
Sylvisorex granti,"[{'taxonname': ""Grant's Forest Shrew"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Grant's Shrew"", 'primary': False, 'language': 'eng'}]"
Sylvisorex howelli,"[{'taxonname': ""Howell's Shrew"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Howell's Forest Shrew"", 'primary': True, 'language': 'eng'}]"
Sylvisorex johnstoni,"[{'taxonname': ""Johnston's Forest Shrew"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Johnston's Shrew"", 'primary': False, 'language': 'eng'}]"
Sylvisorex lunaris,"[{'taxonname': 'Moon Forest Shrew', 'primary': True, 'language': 'eng'}, {'taxonname': 'Crescent Shrew', 'primary': False, 'language': 'eng'}]"
Coleura afra,"[{'taxonname': 'African Sheath-tailed Bat', 'primary': True, 'language': 'eng'}]"
Coleura seychellensis,"[{'taxonname': 'Seychelles Sheath-tailed Bat', 'primary': True, 'language': 'eng'}]"
Taphozous hildegardeae,"[{'taxonname': ""Hildegarde's Tomb Bat"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Taphien de Hildegarde', 'primary': False, 'language': 'fre'}]"
